Sample,Tube Label,PC1 Score,PC2 Score
sample-1,A20150,-1.8368817720790611,9.674800360597471
sample-2,A20284,5.119141232623874,-5.977017125015612
sample-3,C20159,5.093578342784496,14.212925953923486
sample-4,C20256,-8.885905800082833,6.307899232772697
sample-5,C20187,5.5110092537719515,5.872692202587271
sample-6,S20219,2.653529887252008,8.866737256617041
sample-7,C20190,-2.7510761941107877,5.830797048451193
sample-8,C20225,9.545945936890556,-0.9507259270422602
sample-9,C20194,7.21427313532946,-0.53236688323692
sample-10,C20199,4.636058485463372,6.46779140710151
sample-11,C20208,8.927063398319136,2.0003510297039857
sample-12,C20196,-36.691305913207366,26.244922045783376
sample-13,C20214,-0.1689454476926938,-3.7458874866886966
sample-14,A20280,3.557243653308954,-15.447982750174445
sample-15,S20216,13.915051676720122,-5.78616890513726
sample-16,C20222,10.456316269502054,-6.033550195804454
sample-17,C20220,7.839350270019562,-3.4954314974164133
sample-18,C20235,-9.064738349716713,-3.171752127406444
sample-19,C20224,11.359159373318091,-3.0770914820921624
sample-20,A20252,-2.0481537518998434,4.026136362576132
sample-21,A20232,0.0351844339139185,-2.160808996237766
sample-22,A20247,-53.07399530406102,-30.217184162106967
sample-23,A20251,-4.813700669567757,11.786860461405
sample-24,A20249,-3.608322150058411,11.943978673177616
sample-25,C20264,-33.99637350538498,-20.51059102814684
sample-26,C20207,-15.128045236466596,13.13026532057029
sample-27,C20266,14.374129307850705,-8.306314396338593
sample-28,S20245,-4.10475611326483,10.015611628178505
sample-29,A20278,10.027710279577914,-4.289909216194976
sample-30,C20218,15.020153007831526,-8.006520959624485
sample-31,A20283,13.930328451339184,-7.093099113789397
sample-32,C20228,13.845613333611617,-7.562839493323739
sample-33,C20186,-5.426714517486648,15.07275453849348
sample-34,C20230,-0.7369979952369892,0.9837581928740452
sample-35,A20276,8.802489717652167,-13.011620938230472
sample-36,C20198,11.243084727700095,-8.12419516756917
sample-37,A20240,-3.4600983480824916,-3.4863832902733445
sample-38,A20184,-1.3521759074474915,13.133985948867728
sample-39,A20273,4.068075946105462,-5.184122176196736
sample-40,A20281,-0.0263031450396171,0.5992956543663148
