Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Cord,sample-20,PC1,45.236285048370384,high,1,210012,1.14330459161423,3.6014643437083596,high,0.06328665226505144,positive,0.22792462156525264,0.22792462156525264
Cord,sample-20,PC1,45.236285048370384,high,2,617003,1.23381981576807,3.890843509750226,high,0.05639223682836962,positive,0.2194133686639596,0.2194133686639596
Cord,sample-20,PC1,45.236285048370384,high,3,616078,1.25894184783875,3.8156387642217577,high,0.05658624485629804,positive,0.21591266939543485,0.21591266939543485
Cord,sample-20,PC1,45.236285048370384,high,4,604011,1.16052817510904,3.851587863826118,high,0.05549728300077233,positive,0.21375266168109822,0.21375266168109822
Cord,sample-20,PC1,45.236285048370384,high,5,301004,0.78954299254691,-3.302548893280713,low,-0.06416867650883014,negative,0.21192019158752506,0.21192019158752506
Cord,sample-20,PC1,45.236285048370384,high,6,642026,0.906454441582296,-3.6534053912257827,low,-0.05585273053501191,negative,0.20405266685129342,0.20405266685129342
Cord,sample-20,PC1,45.236285048370384,high,7,902025,1.30176669200392,3.2484478344562207,high,0.06271568645345056,positive,0.2037286358461468,0.2037286358461468
Cord,sample-20,PC1,45.236285048370384,high,8,642011,0.880897584820509,-3.760494399079727,low,-0.05246374515242552,negative,0.19728961980044235,0.19728961980044235
Cord,sample-20,PC1,45.236285048370384,high,9,616066,1.23117342903307,3.310737873401396,high,0.0591687391123548,positive,0.19589218550067952,0.19589218550067952
Cord,sample-20,PC1,45.236285048370384,high,10,607022,1.26627423893297,3.517817664189766,high,0.054766174165448635,positive,0.1926574148793084,0.1926574148793084
Cord,sample-20,PC1,45.236285048370384,high,11,642024,0.771350080124368,-3.5201725804757897,low,-0.05453363499839765,negative,0.1919678066350343,0.1919678066350343
Cord,sample-20,PC1,45.236285048370384,high,12,601032,1.26582874313769,3.665502359394905,high,0.052308828300259354,positive,0.19173813355178365,0.19173813355178365
Cord,sample-20,PC1,45.236285048370384,high,13,616072,1.20009499705163,3.2218225515691588,high,0.058101654165302136,positive,0.18719321967324257,0.18719321967324257
Cord,sample-20,PC1,45.236285048370384,high,14,644008,0.915049394115787,-4.014505677933314,low,-0.04662339365853181,negative,0.187169878566696,0.187169878566696
Cord,sample-20,PC1,45.236285048370384,high,15,655005,1.20279160809389,2.953450250670965,high,0.06266862741642847,positive,0.18508867335225596,0.18508867335225596
Cord,sample-20,PC1,45.236285048370384,high,16,616056,1.16904862927289,3.223262535974314,high,0.05740804258929664,positive,0.1850411929416977,0.1850411929416977
Cord,sample-20,PC1,45.236285048370384,high,17,112031,1.18387081070064,3.793854518917708,high,0.048611607975340795,positive,0.18442536858910277,0.18442536858910277
Cord,sample-20,PC1,45.236285048370384,high,18,119006,1.09094092736662,3.185749224558184,high,0.05725318443231729,positive,0.18239428790874151,0.18239428790874151
Cord,sample-20,PC1,45.236285048370384,high,19,402016,1.18680798479501,2.952401203585222,high,0.0614796828792014,positive,0.181512689728592,0.181512689728592
Cord,sample-20,PC1,45.236285048370384,high,20,607001,1.12234565489798,3.9402781622744043,high,0.0459691467616622,positive,0.18113122512336471,0.18113122512336471
Cord,sample-22,PC1,30.62695643679821,high,1,703039,1.16474410580281,4.843279502696931,high,0.05546612450098877,positive,0.26863794388967493,0.26863794388967493
Cord,sample-22,PC1,30.62695643679821,high,2,117013,1.13429826528411,5.191316614909644,high,0.049142430737545144,positive,0.2551139171848645,0.2551139171848645
Cord,sample-22,PC1,30.62695643679821,high,3,704030,1.17419236163779,4.787704339143228,high,0.05255630388532903,positive,0.2516240441611199,0.2516240441611199
Cord,sample-22,PC1,30.62695643679821,high,4,703058,1.10840295481747,3.6747725284757213,high,0.0634929407571051,positive,0.2333221144463463,0.2333221144463463
Cord,sample-22,PC1,30.62695643679821,high,5,657006,1.19316947583845,4.277283821409485,high,0.05196594793358673,positive,0.22227310836053818,0.22227310836053818
Cord,sample-22,PC1,30.62695643679821,high,6,203012,1.23970118461321,3.7245800520507455,high,0.05927334827679149,positive,0.220768330609994,0.220768330609994
Cord,sample-22,PC1,30.62695643679821,high,7,210012,1.12756051630508,3.339785327485341,high,0.06328665226505144,positive,0.21136383266048572,0.21136383266048572
Cord,sample-22,PC1,30.62695643679821,high,8,604011,1.15638403294724,3.7635416323407265,high,0.05549728300077233,positive,0.20886633505520194,0.20886633505520194
Cord,sample-22,PC1,30.62695643679821,high,9,801007,0.737512183631195,-3.4172499394340607,low,-0.06093438163766639,negative,0.2082280119607674,0.2082280119607674
Cord,sample-22,PC1,30.62695643679821,high,10,801006,0.79608805476841,-3.3662911872016803,low,-0.061250308846359555,negative,0.2061863748828813,0.2061863748828813
Cord,sample-22,PC1,30.62695643679821,high,11,107005,1.14497605822255,3.926658294617689,high,0.0520466415208864,positive,0.204369376634982,0.204369376634982
Cord,sample-22,PC1,30.62695643679821,high,12,801005,0.806763110222381,-3.4055488391155007,low,-0.05927908225693887,negative,0.20187780976395045,0.20187780976395045
Cord,sample-22,PC1,30.62695643679821,high,13,657011,1.24276914134528,3.5678444696522535,high,0.054932027997498196,positive,0.1959889322976567,0.1959889322976567
Cord,sample-22,PC1,30.62695643679821,high,14,702001,1.16746028943842,3.172848197663534,high,0.06176951909959425,positive,0.19598530734569086,0.19598530734569086
Cord,sample-22,PC1,30.62695643679821,high,15,906001,1.15395860176184,3.711084941980384,high,0.05062741012529598,positive,0.18788261936745113,0.18788261936745113
Cord,sample-22,PC1,30.62695643679821,high,16,674005,1.15765113698255,2.9455847398097648,high,0.06267231266214021,positive,0.1846066077861865,0.1846066077861865
Cord,sample-22,PC1,30.62695643679821,high,17,116012,1.11739468552758,3.2095216126775536,high,0.057351267910552076,positive,0.18407013387337753,0.18407013387337753
Cord,sample-22,PC1,30.62695643679821,high,18,902001,1.02732512625721,3.309725678280513,high,0.054603109864646115,positive,0.18072131483299123,0.18072131483299123
Cord,sample-22,PC1,30.62695643679821,high,19,703041,1.17277779023727,3.0072495987767214,high,0.05813365101049793,positive,0.17482239867674584,0.17482239867674584
Cord,sample-22,PC1,30.62695643679821,high,20,203016,1.17340700375529,2.8556804641929365,high,0.06021131298542428,positive,0.1719442702158826,0.1719442702158826
Cord,sample-23,PC1,31.293148297065237,high,1,301004,0.805338995081018,-3.033371153349216,low,-0.06416867650883014,negative,0.19464741227048282,0.19464741227048282
Cord,sample-23,PC1,31.293148297065237,high,2,902012,1.18714723130024,3.591770478883316,high,0.05319577683918239,positive,0.19106702085224014,0.19106702085224014
Cord,sample-23,PC1,31.293148297065237,high,3,902001,1.0315877514789,3.434122959178627,high,0.054603109864646115,positive,0.1875137932287342,0.1875137932287342
Cord,sample-23,PC1,31.293148297065237,high,4,642024,0.778911367833488,-3.3937416596805066,low,-0.05453363499839765,negative,0.18507306894787298,0.18507306894787298
Cord,sample-23,PC1,31.293148297065237,high,5,642014,0.803310969170813,-3.4058147074684313,low,-0.0524659617735376,negative,0.17868934424979085,0.17868934424979085
Cord,sample-23,PC1,31.293148297065237,high,6,902018,1.24418940420508,3.059992642544613,high,0.05752206202856589,positive,0.17601708659140647,0.17601708659140647
Cord,sample-23,PC1,31.293148297065237,high,7,801009,0.718697391273867,-2.718526112818071,low,-0.06144121065086451,negative,0.16702953555753097,0.16702953555753097
Cord,sample-23,PC1,31.293148297065237,high,8,612021,0.784084972746068,-3.008875790044943,low,-0.05487595221520493,negative,0.16511492407599326,0.16511492407599326
Cord,sample-23,PC1,31.293148297065237,high,9,902010,1.31973199266574,2.8577088633267533,high,0.05708050546415144,positive,0.16311946638807676,0.16311946638807676
Cord,sample-23,PC1,31.293148297065237,high,10,902025,1.23818316530375,2.5793826431090427,high,0.06271568645345056,positive,0.16176775308869928,0.16176775308869928
Cord,sample-23,PC1,31.293148297065237,high,11,642013,0.797528457094581,-2.9206328333632126,low,-0.055088586596480006,negative,0.1608935347572521,0.1608935347572521
Cord,sample-23,PC1,31.293148297065237,high,12,907002,1.03618002785396,6.082762530298186,high,0.026290415002824502,positive,0.15991835128517015,0.15991835128517015
Cord,sample-23,PC1,31.293148297065237,high,13,304001,0.686195966736439,-2.651426394850892,low,-0.0602159187532677,negative,0.15965807637261079,0.15965807637261079
