Dataset,PC,Rank,Metabolite,Loading,Abs_Loading,Loading_Direction
Cord,PC1,1,703015,0.06591189644135848,0.06591189644135848,positive
Cord,PC1,2,676007,0.06466636903054845,0.06466636903054845,positive
Cord,PC1,3,301004,-0.06416867650883014,0.06416867650883014,negative
Cord,PC1,4,704034,0.0639422252127398,0.0639422252127398,positive
Cord,PC1,5,703058,0.0634929407571051,0.0634929407571051,positive
Cord,PC1,6,655007,0.06346646368540473,0.06346646368540473,positive
Cord,PC1,7,210012,0.06328665226505144,0.06328665226505144,positive
Cord,PC1,8,902025,0.06271568645345056,0.06271568645345056,positive
Cord,PC1,9,674005,0.06267231266214021,0.06267231266214021,positive
Cord,PC1,10,655005,0.06266862741642847,0.06266862741642847,positive
Cord,PC1,11,655001,0.06266343025973242,0.06266343025973242,positive
Cord,PC1,12,702001,0.06176951909959425,0.06176951909959425,positive
Cord,PC1,13,402016,0.0614796828792014,0.0614796828792014,positive
Cord,PC1,14,801009,-0.06144121065086451,0.06144121065086451,negative
Cord,PC1,15,801006,-0.061250308846359555,0.061250308846359555,negative
Cord,PC1,16,621002-1,0.060941451604156635,0.060941451604156635,positive
Cord,PC1,17,801007,-0.06093438163766639,0.06093438163766639,negative
Cord,PC1,18,306006,0.06048765806578223,0.06048765806578223,positive
Cord,PC1,19,657010,0.06028189895437608,0.06028189895437608,positive
Cord,PC1,20,304001,-0.0602159187532677,0.0602159187532677,negative
Cord,PC2,1,107013,0.08496022452547124,0.08496022452547124,positive
Cord,PC2,2,402012,0.08492632378249314,0.08492632378249314,positive
Cord,PC2,3,402011,0.07969908714629657,0.07969908714629657,positive
Cord,PC2,4,107014,0.07844336161551828,0.07844336161551828,positive
Cord,PC2,5,645001,0.07745000503711458,0.07745000503711458,positive
Cord,PC2,6,203004,0.07730758006354803,0.07730758006354803,positive
Cord,PC2,7,621001,0.07693925666458998,0.07693925666458998,positive
Cord,PC2,8,113001,0.07466988467140329,0.07466988467140329,positive
Cord,PC2,9,112039,0.07459855979188681,0.07459855979188681,positive
Cord,PC2,10,658019,0.07395539228374733,0.07395539228374733,positive
Cord,PC2,11,402003,0.07329647693208687,0.07329647693208687,positive
Cord,PC2,12,644003,0.07288003525903824,0.07288003525903824,positive
Cord,PC2,13,112038,0.07193917712519456,0.07193917712519456,positive
Cord,PC2,14,301010,0.07128012966683908,0.07128012966683908,positive
Cord,PC2,15,621010,0.0711974777607222,0.0711974777607222,positive
Cord,PC2,16,114007,0.07001528127901763,0.07001528127901763,positive
Cord,PC2,17,313003,0.06989832139045463,0.06989832139045463,positive
Cord,PC2,18,1116016,0.06961734924359406,0.06961734924359406,positive
Cord,PC2,19,402014,0.06955100363341972,0.06955100363341972,positive
Cord,PC2,20,105004,0.06945082002380248,0.06945082002380248,positive
