Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Placenta,sample-12,PC1,-36.691305913207366,low,1,604014,0.911707394089214,-4.55945069556974,low,0.06064271180267597,positive,-0.2764974545099462,0.2764974545099462
Placenta,sample-12,PC1,-36.691305913207366,low,2,604003,0.807477900195315,-4.745346525680865,low,0.05642859554242327,positive,-0.267773239806289,0.267773239806289
Placenta,sample-12,PC1,-36.691305913207366,low,3,650016,0.91844402760245,-4.5706272897976845,low,0.057602455937184785,positive,-0.2632793570658654,0.2632793570658654
Placenta,sample-12,PC1,-36.691305913207366,low,4,604011,0.815484407010311,-4.803884191117081,low,0.05420164553915224,positive,-0.2603784281380651,0.2603784281380651
Placenta,sample-12,PC1,-36.691305913207366,low,5,650004,0.935218884652481,-4.4547837417637215,low,0.055944169969302696,positive,-0.24921917882571587,0.24921917882571587
Placenta,sample-12,PC1,-36.691305913207366,low,6,604008,0.856559454552056,-4.564189889885551,low,0.05435514683255994,positive,-0.2480872116364147,0.2480872116364147
Placenta,sample-12,PC1,-36.691305913207366,low,7,650024,0.931078043312275,-3.927160812734344,low,0.061713439064305875,positive,-0.24235859951241087,0.24235859951241087
Placenta,sample-12,PC1,-36.691305913207366,low,8,677011,0.930540591516772,-3.6674524441276,low,0.0642180774076353,positive,-0.2355167449458075,0.2355167449458075
Placenta,sample-12,PC1,-36.691305913207366,low,9,604013,0.895413007956658,-4.11649174231688,low,0.05685375646538078,positive,-0.2340380190094349,0.2340380190094349
Placenta,sample-12,PC1,-36.691305913207366,low,10,604002,0.870574642845638,-4.381928401353115,low,0.0530978732788828,positive,-0.23267107897218517,0.23267107897218517
Placenta,sample-12,PC1,-36.691305913207366,low,11,675024,0.914602894043797,-3.8818317059269054,low,0.05991735412840059,positive,-0.23258908499087577,0.23258908499087577
Placenta,sample-12,PC1,-36.691305913207366,low,12,675029,0.908965351325973,-4.217899706612573,low,0.055070621384382894,positive,-0.23228235778016068,0.23228235778016068
Placenta,sample-12,PC1,-36.691305913207366,low,13,651015,0.92214246030963,-3.637103994777344,low,0.06343522727847756,positive,-0.23072051854415945,0.23072051854415945
Placenta,sample-12,PC1,-36.691305913207366,low,14,651010,0.895811329786027,-3.8472786942924837,low,0.059911678964033814,positive,-0.23049692601761848,0.23049692601761848
