Dataset,PC,Metabolite,Outlier_Count,Mean_Abs_Contribution,Mean_Contribution,Mean_Abs_Z,Mean_Abs_Loading,Typical_Value_Direction,Typical_Loading_Direction
Placenta,PC1,207013,2,0.21464645192447257,-0.21464645192447257,3.9552193382430127,0.05426916526450409,low,positive
Placenta,PC1,119008,2,0.20762411418681567,-0.20762411418681567,3.481627709642635,0.05963420891090244,low,positive
Placenta,PC1,703043,2,0.202041109561748,-0.202041109561748,3.7414801731892746,0.05400031543920388,low,positive
Placenta,PC1,604014,1,0.2764974545099462,-0.2764974545099462,4.55945069556974,0.06064271180267597,low,positive
Placenta,PC1,703008,1,0.27644874748591747,-0.27644874748591747,4.6712870350457445,0.0591804240270177,low,positive
Placenta,PC1,604003,1,0.267773239806289,-0.267773239806289,4.745346525680865,0.05642859554242327,low,positive
Placenta,PC1,703015,1,0.26617763271470524,-0.26617763271470524,4.738699628995215,0.05617102866913408,low,positive
Placenta,PC1,650016,1,0.2632793570658654,-0.2632793570658654,4.5706272897976845,0.057602455937184785,low,positive
Placenta,PC1,604011,1,0.2603784281380651,-0.2603784281380651,4.803884191117081,0.05420164553915224,low,positive
Placenta,PC1,402008,1,0.26014313622229096,-0.26014313622229096,4.919971157121935,0.052874931155992476,low,positive
Placenta,PC1,703039,1,0.25736304667734694,-0.25736304667734694,4.530973953596125,0.05680082236471125,low,positive
Placenta,PC1,119007,1,0.2548335968230738,-0.2548335968230738,4.369134512770511,0.05832587577201448,low,positive
Placenta,PC1,115011,1,0.25091727909910894,-0.25091727909910894,4.440821523243534,0.056502446177085115,low,positive
Placenta,PC1,650004,1,0.24921917882571587,-0.24921917882571587,4.4547837417637215,0.055944169969302696,low,positive
Placenta,PC1,604008,1,0.2480872116364147,-0.2480872116364147,4.564189889885551,0.05435514683255994,low,positive
Placenta,PC1,113019,1,0.24480747067159844,-0.24480747067159844,4.970018768809631,0.049256850337857434,low,positive
Placenta,PC1,117025,1,0.24290550910199823,-0.24290550910199823,5.14638666317062,0.047199234142338495,low,positive
Placenta,PC1,650024,1,0.24235859951241087,-0.24235859951241087,3.927160812734344,0.061713439064305875,low,positive
Placenta,PC1,643004,1,0.2409222191344022,-0.2409222191344022,4.102914655650689,0.05871977346703886,low,positive
Placenta,PC1,704041,1,0.24019672896472363,-0.24019672896472363,4.377462326698422,0.05487122698915042,low,positive
Placenta,PC1,111014,1,0.23868207037554934,-0.23868207037554934,4.192491042531274,0.056930848021905796,low,positive
Placenta,PC1,101002,1,0.23856918207068453,-0.23856918207068453,4.2824134347018985,0.05570904951340633,low,positive
Placenta,PC1,704030,1,0.23775531087138704,-0.23775531087138704,4.49064897022783,0.052944532616034046,low,positive
Placenta,PC1,113012,1,0.23738432252727246,-0.23738432252727246,4.684763259671709,0.05067157279232664,low,positive
Placenta,PC1,677011,1,0.2355167449458075,-0.2355167449458075,3.6674524441276,0.0642180774076353,low,positive
Placenta,PC1,604013,1,0.2340380190094349,-0.2340380190094349,4.11649174231688,0.05685375646538078,low,positive
Placenta,PC1,604002,1,0.23267107897218517,-0.23267107897218517,4.381928401353115,0.0530978732788828,low,positive
Placenta,PC1,675024,1,0.23258908499087577,-0.23258908499087577,3.8818317059269054,0.05991735412840059,low,positive
Placenta,PC1,675029,1,0.23228235778016068,-0.23228235778016068,4.217899706612573,0.055070621384382894,low,positive
Placenta,PC1,643005,1,0.23179948231059033,-0.23179948231059033,3.8839131867873675,0.059681942196634544,low,positive
Placenta,PC1,657011,1,0.23088584333013656,-0.23088584333013656,3.7478283740206164,0.06160523382836913,low,positive
Placenta,PC1,651015,1,0.23072051854415945,-0.23072051854415945,3.637103994777344,0.06343522727847756,low,positive
Placenta,PC1,651010,1,0.23049692601761848,-0.23049692601761848,3.8472786942924837,0.059911678964033814,low,positive
Placenta,PC1,604015,1,0.23034674984131265,-0.23034674984131265,4.024723239283244,0.0572329415332257,low,positive
Placenta,PC1,652005,1,0.22763193825333905,-0.22763193825333905,4.62733144099227,0.049192918457668634,low,positive
Placenta,PC1,676007,1,0.22718388180729407,-0.22718388180729407,3.909631380337833,0.05810877285000281,low,positive
Placenta,PC1,604004,1,0.22684799233505934,-0.22684799233505934,3.783482346000205,0.05995746024158852,low,positive
Placenta,PC1,402012,1,0.22632391109402714,-0.22632391109402714,4.779009808380858,0.047357908890901884,low,positive
Placenta,PC1,651017,1,0.22600575766262476,-0.22600575766262476,3.7011405348290993,0.06106381412319449,low,positive
Placenta,PC1,109007,1,0.22394571765626495,-0.22394571765626495,4.407283164078026,0.050812645641095965,low,positive
Placenta,PC1,651006,1,0.2238538642579962,-0.2238538642579962,3.800993747052785,0.05889351026466908,low,positive
Placenta,PC1,674005,1,0.22373909212150828,-0.22373909212150828,3.7621243871502617,0.05947147651090463,low,positive
Placenta,PC1,650020,1,0.22357356977866163,-0.22357356977866163,3.500890444386032,0.06386191551271773,low,positive
Placenta,PC1,112034,1,0.2234199207387472,-0.2234199207387472,4.32704503231872,0.05163337082697839,low,positive
Placenta,PC1,703011,1,0.2232903170927504,-0.2232903170927504,4.808932941487072,0.04643240398850355,low,positive
Placenta,PC1,657010,1,0.2053316217797518,-0.2053316217797518,3.33097732736569,0.061643055956234545,low,positive
Placenta,PC1,1101006,1,0.2052789888306165,-0.2052789888306165,3.7359830115881776,0.054946446007352635,low,positive
Placenta,PC1,119005,1,0.2028267155029736,-0.2028267155029736,3.8332483530834964,0.05291249009206986,low,positive
Placenta,PC1,701011,1,0.19934631064491787,-0.19934631064491787,4.163905148341609,0.04787484429714089,low,positive
Placenta,PC1,621010,1,0.18890982448486993,-0.18890982448486993,3.603776228582297,0.05241996519833471,low,positive
Placenta,PC1,703059,1,0.18733261588135536,-0.18733261588135536,3.6614437105594972,0.05116359302236261,low,positive
Placenta,PC1,117020,1,0.18716866465201465,-0.18716866465201465,4.050819435894836,0.04620513642091495,low,positive
Placenta,PC1,657009,1,0.18584224071965413,-0.18584224071965413,3.012576470395018,0.0616888044323356,low,positive
Placenta,PC1,651018,1,0.1857941640616203,-0.1857941640616203,2.9809780540088107,0.06232657896013855,low,positive
Placenta,PC1,657002,1,0.18434014944560465,-0.18434014944560465,2.8467818750441714,0.06475387210435446,low,positive
Placenta,PC1,703029,1,0.18393594213758405,-0.18393594213758405,3.3577558707480986,0.05477942686065609,low,positive
Placenta,PC1,309001,1,0.17872797248698674,-0.17872797248698674,2.7489146317447064,0.06501765112056246,low,positive
Placenta,PC2,114001,2,0.24318771405689027,-0.24318771405689027,3.531925137521507,0.06885415307175645,low,positive
Placenta,PC2,117020,2,0.23357367927545292,-0.23357367927545292,4.050819435894836,0.05766084689081084,low,positive
Placenta,PC2,114011,2,0.21667017020658447,-0.21667017020658447,3.187795809687046,0.06796864766186375,low,positive
Placenta,PC2,119028,2,0.21254747619700542,-0.21254747619700542,3.7765363352503276,0.05628106215027763,low,positive
Placenta,PC2,703046,2,0.2118101033692417,-0.2118101033692417,3.4330113077622557,0.0616980500152521,low,positive
Placenta,PC2,114009,2,0.20291188302841623,-0.20291188302841623,3.2059410090838694,0.0632924568647632,low,positive
Placenta,PC2,703025,1,0.2963415421159797,-0.2963415421159797,4.192843952683774,0.0706779325584717,high,negative
Placenta,PC2,210008,1,0.2909698515322732,-0.2909698515322732,4.385421820435539,0.06634934185267849,low,positive
Placenta,PC2,206005,1,0.2796750973521033,-0.2796750973521033,3.6494008602764296,0.07663589396176085,low,positive
Placenta,PC2,703011,1,0.2754782646994594,-0.2754782646994594,4.808932941487072,0.05728469663672892,low,positive
Placenta,PC2,402012,1,0.26813244605670855,-0.26813244605670855,4.779009808380858,0.056106276573546644,low,positive
Placenta,PC2,402008,1,0.2646365844703232,-0.2646365844703232,4.919971157121935,0.0537882389995817,low,positive
Placenta,PC2,206007,1,0.2585018003706057,-0.2585018003706057,3.3425557672324073,0.07733657068783682,low,positive
Placenta,PC2,113019,1,0.2553982257874124,-0.2553982257874124,4.970018768809631,0.05138777893359602,low,positive
Placenta,PC2,304005,1,0.2541365007531317,-0.2541365007531317,4.087945482059129,0.062167292070911186,low,positive
