Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group,PC1_outlier,PC2_outlier,Any_outlier,PC1_flag,PC2_flag
sample-1,-2.756423801677508,2.2354315670171987,-4.353985318898658,-1.815984703897336,-3.6627531295610254,-6.218986505861366,3.882893927423395,10.254538097049885,1.1886193504647042,-2.048324823548456,Placenta,False,False,False,normal,normal
sample-2,1.8867730082288785,-1.9201299862340184,2.7317770454377217,2.405388780090375,-2.297303268401502,-0.8766484542589098,-7.072830836456324,3.2498412600600335,-0.1201889666433562,5.42379457251553,Placenta,False,False,False,normal,normal
sample-3,4.606224058281816,7.816480685726878,-8.664036778600439,-7.884191318088626,-2.4045903473783152,6.018447565393243,-2.9664293253976006,7.831716949298544,-1.1745511805067106,-3.1840349057719743,Placenta,False,False,False,normal,normal
sample-4,-10.042946660703544,-2.423579167376657,-4.087951217812729,-2.286382344196137,-1.9261223326224757,-4.806377216356048,-1.5022956507392633,5.306955118685692,0.2253956687634843,5.076424882119015,Placenta,False,False,False,normal,normal
sample-5,2.250327460685596,0.2277964381758894,1.991520315360697,-4.315640954604176,-1.5502117038916337,-15.778812299355186,2.11717119071356,10.188627828963408,1.7947330905976049,-1.603042274233227,Placenta,False,False,False,normal,normal
sample-6,0.2706552748115616,9.636333654736353,-0.4832691458786474,-6.995770216860018,-3.227406649252532,5.027607196034075,1.4827897391521958,-4.864859907408937,-4.922338829588291,-4.7608899933840885,Placenta,False,False,False,normal,normal
sample-7,-3.2351715028008208,1.144353276680144,-2.3788391453600477,-5.320508135677018,2.091539322500386,-1.7762999493409242,-10.122816214627056,-0.3582807896243076,-1.534414230687419,-1.7265195760409586,Placenta,False,False,False,normal,normal
sample-8,5.632651211314492,3.047329154383245,3.915605060466785,0.180993187573646,-5.074310789982807,1.5187964686166142,-6.920688346600947,4.019575900048755,-2.3181392343005656,1.0948507023695626,Placenta,False,False,False,normal,normal
sample-9,4.441682918672154,-0.5721591373546486,4.82717983001612,-0.566309847015839,-4.697108112237445,-12.303269207848013,-0.0578688389381026,10.99846025027137,4.599459847642824,-1.976748282041814,Placenta,False,False,False,normal,normal
sample-10,0.9109049960785274,3.0347349297215516,-4.504181918066919,-1.2876547888727023,-4.093397757669534,-6.409356657474819,-2.8733816754471007,-2.1399972245472876,-6.984045996836526,2.4132280146906164,Placenta,False,False,False,normal,normal
sample-11,3.9923279769934066,5.63851563941109,-1.293009515285081,2.4083240352436763,-3.133341839343744,-2.192769767801426,4.868498194447358,-3.576332938316002,-10.246012955898609,0.4205809012397084,Placenta,False,False,False,normal,normal
sample-13,-2.452453473623623,-1.4281681610800507,4.285540531153808,1.0482527369071677,1.3248242745294565,-2.833733191552086,4.940777146366842,0.8694935552172187,1.4022639374178325,0.9278215237700314,Placenta,False,False,False,normal,normal
sample-14,-0.0852699872117214,-3.871502395478372,12.582572388554777,5.3415340101444775,1.4350792832703276,5.969541103528528,2.6319969975468966,2.7357942505857724,3.3983451504938467,3.0303506356696186,Placenta,False,False,False,normal,normal
sample-15,8.931539427525303,4.791366365690149,6.411454995929369,2.1708461208940832,3.153098434708819,2.8225510232141464,-0.5967902038694113,-3.7769054378597735,-1.0543313372495238,2.531512332338209,Placenta,False,False,False,normal,normal
sample-16,4.780640101607138,2.323080664279676,6.4945023146840875,-0.3167228871051835,0.6237288620039781,-0.8362890146565666,1.3629291317211034,0.8096571209513226,1.3171318341224765,3.0076836073858004,Placenta,False,False,False,normal,normal
sample-17,3.085062256398413,2.9147338512345327,4.823229459005927,-0.2430037388114283,1.0020679883116923,3.423952367379223,-5.15210497338478,2.21892535705125,0.6019104124300035,2.0872455840300685,Placenta,False,False,False,normal,normal
sample-18,-9.816874067573355,-6.889141600081263,6.680071168053444,-2.457339343632097,-3.757392496129324,-1.9710152638188556,-8.936758009206597,5.294974226393642,-3.790151923781861,-3.0107816358565693,Placenta,False,False,False,normal,normal
sample-19,6.022414301823887,3.638114938435656,6.621772890915923,-3.405488178243648,0.5141146404079304,4.265614659961866,-2.9731621022163344,-1.8887383846937953,2.705060670866882,2.2062503378127225,Placenta,False,False,False,normal,normal
sample-20,-2.7308091648770776,-3.063148674210952,-6.843350256206155,5.834784319276264,3.000223710481809,-10.276713304994985,-1.3711088030275278,2.856359282144511,-0.2257597628994616,7.140931930800763,Placenta,False,False,False,normal,normal
sample-21,-2.92471565495549,2.7668521537286064,3.7845911334952382,-1.4000967443151335,2.317874205391376,6.498981180076479,7.759567323868228,-1.6612949609678755,3.855111076614554,-2.701191919146677,Placenta,False,False,False,normal,normal
sample-23,-5.203275909831865,2.8215457487293856,-5.723422727155012,-8.596237605318873,3.25190912073459,0.0364536726446756,-6.516205114528736,0.4428462656094991,-1.3377412013500185,0.463782385853814,Placenta,False,False,False,normal,normal
