COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
107004,beta-citrylglutamate,Amino Acid,Glutamate Metabolism,NEGa,HMDB0013220,,,,,
108005,5-oxoproline,Amino Acid,Glutathione Metabolism,NEGa,HMDB0000267,,7405.0,98-79-3,C01879,
109011,N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",NEGa,HMDB0062557,,152204.0,17093-74-2,,
1101001,1H-indole-7-acetic acid,Xenobiotics,Bacterial/Fungal,NEGa,,,,,,
1101006,tartronate (hydroxymalonate),Xenobiotics,Food Component/Plant,NEGa,HMDB0035227,,45.0,80-69-3,C02287,44.0
1102005,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000840,,10253.0,487-54-7,C07588,9835.0
1102011,3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000375,,91.0,621-54-5,C11457,89.0
1102012,3-(3-hydroxyphenyl)propionate sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0094710,,187488.0,,,
1102017,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0006116,,450268.0,1637-75-8,,396603.0
1102018,3-hydroxyhippurate sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102019,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102020,3-methoxycatechol sulfate (2),Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102021,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102023,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000764,,107.0,501-52-0,C05629,10181339.0
1102024,4-acetylphenol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102025,4-allylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102026,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102028,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0062551,,20822574.0,,,
1102031,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0013678,,151012.0,2482-25-9,,133104.0
1102033,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0240459,,54104170.0,2349374-79-2,,
1102034,4-methylguaiacol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102035,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0062775,,6426766.0,131351-90-1,,
1102036,benzoate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0001870,,243.0,65-85-0,C00539,238.0
1102037,catechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0059724,,3083879.0,4918-96-1,,
1102038,guaiacol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0060013,,22473.0,,,
1102039,hippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000714,,464.0,495-69-2,C01586,451.0
1102041,methyl-4-hydroxybenzoate sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0168668,,122164837.0,1679347-90-0,,58170412.0
1102042,o-cresol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102044,p-cresol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0011635,,4615423.0,3233-58-7,,3806481.0
1102046,p-hydroxybenzaldehyde,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0011718,,126.0,123-08-0,C00633,123.0
1102047,propyl 4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0032574,,7175.0,94-13-3,,6907.0
1102050,4-vinylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1103003,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,NEGa,HMDB0060018,"HMDB0060018,HMDB0060016(Pyrogallol-1-O-sulphate)",92013661.0,,,
1103008,"2,4-di-tert-butylphenol",Xenobiotics,Chemical,NEGa,,,,,,
1103012,2-methoxyresorcinol sulfate,Xenobiotics,Chemical,NEGa,,,,,,
1103023,3-hydroxypyridine sulfate,Xenobiotics,Chemical,NEGa,,,,,,
1103028,4-hydroxychlorothalonil,Xenobiotics,Chemical,NEGa,HMDB0240624,,34217.0,28343-61-5,,31530.0
