COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
1002002,gentisic acid-5-glucoside,Secondary metabolism,Benzenoids,NEGa,,,,,,
1004006,feruloylquinate (4),Secondary metabolism,Phenylpropanoids,NEGa,,,,,,
107004,beta-citrylglutamate,Amino Acid,Glutamate Metabolism,NEGa,HMDB0013220,,,,,
108004,4-hydroxy-nonenal-glutathione,Amino Acid,Glutathione Metabolism,NEGa,,,,,,
108005,5-oxoproline,Amino Acid,Glutathione Metabolism,NEGa,HMDB0000267,,7405.0,98-79-3,C01879,
108015,"S-(1,2-dicarboxyethyl)glutathione",Amino Acid,Glutathione Metabolism,NEGa,,,,,,
109002,3-phosphoserine,Amino Acid,"Glycine, Serine and Threonine Metabolism",NEGa,HMDB0000272,"HMDB0000272,HMDB0001721(DL-O-Phosphoserine)",,,C01005,
109011,N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",NEGa,HMDB0062557,,152204.0,17093-74-2,,
1101006,tartronate (hydroxymalonate),Xenobiotics,Food Component/Plant,NEGa,HMDB0035227,,45.0,80-69-3,C02287,44.0
1102005,2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000840,,10253.0,487-54-7,C07588,9835.0
1102017,3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0006116,,450268.0,1637-75-8,,396603.0
1102019,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,NEGa,,,,,,
1102028,4-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0062551,,20822574.0,,,
1102031,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0013678,,151012.0,2482-25-9,,133104.0
1102033,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0240459,,54104170.0,2349374-79-2,,
1102035,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0062775,,6426766.0,131351-90-1,,
1102036,benzoate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0001870,,243.0,65-85-0,C00539,238.0
1102037,catechol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0059724,,3083879.0,4918-96-1,,
1102038,guaiacol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0060013,,22473.0,,,
1102039,hippurate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0000714,,464.0,495-69-2,C01586,451.0
1102044,p-cresol sulfate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0011635,,4615423.0,3233-58-7,,3806481.0
1102046,p-hydroxybenzaldehyde,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0011718,,126.0,123-08-0,C00633,123.0
1102047,propyl 4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism,NEGa,HMDB0032574,,7175.0,94-13-3,,6907.0
